RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 13,2018,2/6/2018,PKNP FC,Perak,Sri Pahang FC,Pahang,1,2,-1,A
Round 13,2018,3/6/2018,Negeri Sembilan FC,Negeri Sembilan,PKNS FC,Selangor,3,1,2,H
Round 14,2018,5/6/2018,Kedah Darul Aman FC,Kedah,Kelantan FC,Kelantan,1,2,-1,A
Round 14,2018,5/6/2018,PKNP FC,Perak,Terengganu FC,Terengganu,2,1,1,H
Round 14,2018,5/6/2018,Kuala Lumpur City FC,Kuala Lumpur,Melaka United FC,Melaka,3,4,-1,A
Round 14,2018,6/6/2018,Negeri Sembilan FC,Negeri Sembilan,Perak FC,Perak,1,1,0,D
Round 14,2018,6/6/2018,Selangor FC,Selangor,PKNS FC,Selangor,2,1,1,H
Round 14,2018,8/6/2018,JDT,Johor,Sri Pahang FC,Pahang,1,0,1,H
Round 15,2018,8/6/2018,Kelantan FC,Kelantan,Kedah Darul Aman FC,Kedah,0,1,-1,A
Round 15,2018,9/6/2018,Perak FC,Perak,Negeri Sembilan FC,Negeri Sembilan,2,0,2,H
Round 15,2018,9/6/2018,Terengganu FC,Terengganu,PKNP FC,Perak,2,1,1,H
Round 15,2018,9/6/2018,Melaka United FC,Melaka,Kuala Lumpur City FC,Kuala Lumpur,2,4,-2,A
Round 15,2018,10/6/2018,PKNS FC,Selangor,Selangor FC,Selangor,2,2,0,D
Round 15,2018,12/6/2018,Sri Pahang FC,Pahang,JDT,Johor,1,2,-1,A
Round 16,2018,19/6/2018,Selangor FC,Selangor,Perak FC,Perak,1,1,0,D
Round 16,2018,19/6/2018,Kelantan FC,Kelantan,PKNS FC,Selangor,0,2,-2,A
Round 16,2018,19/6/2018,Negeri Sembilan FC,Negeri Sembilan,Sri Pahang FC,Pahang,1,3,-2,A
Round 16,2018,19/6/2018,PKNP FC,Perak,Melaka United FC,Melaka,1,2,-1,A
Round 16,2018,20/6/2018,Kedah Darul Aman FC,Kedah,Kuala Lumpur City FC,Kuala Lumpur,3,2,1,H
Round 16,2018,20/6/2018,JDT,Johor,Terengganu FC,Terengganu,2,0,2,H
Round 17,2018,26/6/2018,Perak FC,Perak,Kelantan FC,Kelantan,1,0,1,H
Round 17,2018,26/6/2018,Sri Pahang FC,Pahang,Selangor FC,Selangor,1,1,0,D
Round 17,2018,26/6/2018,Kedah Darul Aman FC,Kedah,PKNS FC,Selangor,2,0,2,H
Round 17,2018,26/6/2018,Melaka United FC,Melaka,JDT,Johor,0,4,-4,A
Round 17,2018,27/6/2018,Terengganu FC,Terengganu,Negeri Sembilan FC,Negeri Sembilan,3,2,1,H
Round 17,2018,27/6/2018,Kuala Lumpur City FC,Kuala Lumpur,PKNP FC,Perak,1,1,0,D
Round 18,2018,10/7/2018,Perak FC,Perak,JDT,Johor,1,2,-1,A
Round 18,2018,10/7/2018,Melaka United FC,Melaka,Kedah Darul Aman FC,Kedah,4,1,3,H
Round 18,2018,10/7/2018,Terengganu FC,Terengganu,Kuala Lumpur City FC,Kuala Lumpur,3,1,2,H
Round 18,2018,11/7/2018,Sri Pahang FC,Pahang,PKNP FC,Perak,0,0,0,D
Round 18,2018,11/7/2018,Kelantan FC,Kelantan,Selangor FC,Selangor,2,1,1,H
Round 18,2018,11/7/2018,PKNS FC,Selangor,Negeri Sembilan FC,Negeri Sembilan,5,3,2,H
Round 19,2018,13/7/2018,Kedah Darul Aman FC,Kedah,JDT,Johor,1,2,-1,A
Round 19,2018,14/7/2018,Perak FC,Perak,Sri Pahang FC,Pahang,1,1,0,D
Round 19,2018,14/7/2018,PKNS FC,Selangor,Terengganu FC,Terengganu,4,0,4,H
Round 19,2018,14/7/2018,Kelantan FC,Kelantan,Melaka United FC,Melaka,1,1,0,D
Round 19,2018,14/7/2018,Negeri Sembilan FC,Negeri Sembilan,PKNP FC,Perak,1,2,-1,A
Round 19,2018,15/7/2018,Selangor FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,3,3,0,D
Round 20,2018,17/7/2018,Kedah Darul Aman FC,Kedah,Terengganu FC,Terengganu,1,1,0,D
Round 20,2018,18/7/2018,PKNP FC,Perak,PKNS FC,Selangor,0,1,-1,A
